periodo;data_inicio;data_fim;total_artigos;artigos_instabilidade;artigos_estabilidade;porcentagem_instabilidade;títulos_amostra;resumo_analise
2022-04-106;15/04/2022;29/04/2022;677;381;296;56.28;"Polícia prende suspeitos de esfaquear jornalista em Brasília; Ministério da Justiça deflagra ação para proteger terra indígena no PA; Favelas brasileiras: 76% dos moradores têm ou querem ter um negócio";"Detectada instabilidade política em 381 de 677 artigos (56.3%). Principais indicadores: [""Palavra-chave 'golpe' encontrada (categoria: golpes)"", ""Palavra-chave 'conflito' encontrada (categoria: conflitos)"", 'Contexto político negativo detectado na análise qualitativa']"
2022-04-107;30/04/2022;14/05/2022;652;348;304;53.37;"Presidente diz que cumprirá pedido da OMC de mais alimentos; Xangai não detecta novos casos de covid fora das áreas de quarentena; Fim de sanções contra Rússia é parte de negociações de paz com Ucrânia";"Detectada instabilidade política em 348 de 652 artigos (53.4%). Principais indicadores: [""Palavra-chave 'protesto' encontrada (categoria: protestos)"", ""Palavra-chave 'presidencial' encontrada (categoria: eleições)"", ""Palavra-chave 'colapso' encontrada (categoria: crises)""]"
2022-05-108;15/05/2022;29/05/2022;688;372;316;54.07;"Botafogo vence lanterna Fortaleza no fim e entra no G6 do Brasileiro; Real Ariquemes encerra sequência de vices e leva título rondoniense; Natação paralímpica: Brasileiro chega ao fim com recorde mundial";"Detectada instabilidade política em 372 de 688 artigos (54.1%). Principais indicadores: [""Palavra-chave 'confronto' encontrada (categoria: conflitos)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)""]"
2022-05-109;30/05/2022;13/06/2022;754;407;347;53.98;"Testes do real digital devem começar em 2023, diz Banco Central; Pacheco define relator; proposta de ICMS de combustíveis será debatida; Senacon pede esclarecimento à Apple sobre segurança de fones de ouvido";"Detectada instabilidade política em 407 de 754 artigos (54.0%). Principais indicadores: [""Palavra-chave 'tensão' encontrada (categoria: conflitos)"", ""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'manifestação' encontrada (categoria: protestos)""]"
2022-06-110;14/06/2022;28/06/2022;731;414;317;56.63;"Natação paralímpica: Brasil garante 3 ouros no terceiro dia do Mundial; Banco Central recebe prêmio internacional por open finance; Câmara aprova texto-base de projeto que limita ICMS dos combustíveis";"Detectada instabilidade política em 414 de 731 artigos (56.6%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'tensão' encontrada (categoria: conflitos)"", ""Palavra-chave 'incidente' encontrada (categoria: golpes)""]"
2022-06-111;29/06/2022;13/07/2022;703;401;302;57.04;"Libertadores: Flamengo parte na frente do Tolima na busca por quartas; Câmara aprova MP que aumenta margem do crédito consignado; Comissão Mista do Orçamento aprova LDO para 2023";"Detectada instabilidade política em 401 de 703 artigos (57.0%). Principais indicadores: [""Palavra-chave 'ataque' encontrada (categoria: violencia)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)""]"
2022-07-112;14/07/2022;28/07/2022;655;379;276;57.86;"Copa do Brasil: América volta a vencer Bota e confirma classificação; São Paulo vence Palmeiras nos pênaltis e avança na Copa do Brasil; Dona de celular resgata aparelho usado como prova contra anestesista";"Detectada instabilidade política em 379 de 655 artigos (57.9%). Principais indicadores: [""Palavra-chave 'confronto' encontrada (categoria: conflitos)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'violência' encontrada (categoria: violencia)""]"
2022-07-113;29/07/2022;12/08/2022;735;436;299;59.32;"Argentina supera Paraguai e se garante na Copa do Mundo Feminina; ""Viúva negra"" cósmica é a estrela de nêutrons mais pesada conhecida; Rio: paciente mantida em cárcere em hospital passará por nova cirurgia";"Detectada instabilidade política em 436 de 735 artigos (59.3%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'colapso' encontrada (categoria: crises)"", ""Palavra-chave 'crime' encontrada (categoria: violencia)""]"
2022-08-114;13/08/2022;27/08/2022;716;431;285;60.20;"Botafogo e Atlético-GO ficam no 0 a 0 no Engenhão; Brasil vence a primeira na Copa do Mundo Sub-20 de futebol feminino; Bia Haddad garante presença na final do WTA 1000 de Toronto";"Detectada instabilidade política em 431 de 716 artigos (60.2%). Principais indicadores: [""Palavra-chave 'confronto' encontrada (categoria: conflitos)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)""]"
2022-08-115;28/08/2022;11/09/2022;736;452;284;61.41;"EBC disputa prêmio de jornalismo na área de saúde, ciência e bem-estar; Flamengo vence Botafogo e retorna à vice-liderança do Brasileirão; Série B: vice-líder Bahia vence Vasco de virada na Arena Fonte Nova";"Detectada instabilidade política em 452 de 736 artigos (61.4%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'confronto' encontrada (categoria: conflitos)""]"
