periodo;data_inicio;data_fim;total_artigos;artigos_instabilidade;artigos_estabilidade;porcentagem_instabilidade;títulos_amostra;resumo_analise
2023-09-140;07/09/2023;21/09/2023;664;447;217;67.32;"Mortes no Rio Grande do Sul chegam a 41 por causa de ciclone; Série D: Caxias e Ferroviário empatam e decidem domingo vaga na final; Militares defendem formação; pesquisadores criticam currículo";"Detectada instabilidade política em 447 de 664 artigos (67.3%). Principais indicadores: [""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'embate' encontrada (categoria: conflitos)"", ""Palavra-chave 'golpe' encontrada (categoria: golpes)""]"
2023-09-141;22/09/2023;06/10/2023;685;505;180;73.72;"Corinthians mostra eficiência para derrotar Botafogo em Itaquera; Embaixada argentina condecora cantora intérprete de Mercedes Sosa; Família de músico morto no Rio receberá indenização de R$ 2 milhões";"Detectada instabilidade política em 505 de 685 artigos (73.7%). Principais indicadores: [""Palavra-chave 'confronto' encontrada (categoria: conflitos)"", ""Palavra-chave 'movimento' encontrada (categoria: protestos)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)""]"
2023-10-142;07/10/2023;21/10/2023;629;482;147;76.63;"Brasileiros relatam apreensão em zona de conflito; No Rio, carnavalescos debatem crescimento do carnaval de rua no país; Chuvas intensas afetam ao menos 78 cidades de Santa Catarina";"Detectada instabilidade política em 482 de 629 artigos (76.6%). Principais indicadores: [""Palavra-chave 'conflito' encontrada (categoria: conflitos)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'emergência' encontrada (categoria: crises)""]"
2023-10-143;22/10/2023;05/11/2023;623;466;157;74.80;"Hoje é Dia: semana tem datas que celebram FAB, ONU e EBC; Escolha pelo concurso público precisa envolver pesquisa e vocação; Abertas as inscrições para o prêmio Mude o Mundo Como Uma Menina";"Detectada instabilidade política em 466 de 623 artigos (74.8%). Principais indicadores: [""Palavra-chave 'conflito' encontrada (categoria: conflitos)"", ""Palavra-chave 'mudança' encontrada (categoria: mudanças)"", ""Palavra-chave 'crise' encontrada (categoria: crises)""]"
2023-11-144;06/11/2023;20/11/2023;643;446;197;69.36;"Exposição fotográfica no Rio conta trajetória de Marielle Franco; Vasco vence Botafogo por 1 a 0 e deixa Z4 do Brasileiro; Agricultor do MST é assassinado em Pernambuco, diz movimento";"Detectada instabilidade política em 446 de 643 artigos (69.4%). Principais indicadores: [""Palavra-chave 'violência' encontrada (categoria: violencia)"", ""Palavra-chave 'tensão' encontrada (categoria: conflitos)"", ""Palavra-chave 'movimento' encontrada (categoria: protestos)""]"
2023-11-145;21/11/2023;05/12/2023;663;462;201;69.68;"Brasil inicia disputa do atletismo do Parapan com 14 medalhas; Prefeito do Rio é criticado por defender internação compulsória; Parapan: Brasil fatura mais 9 pódios e já soma 62 medalhas na natação";"Detectada instabilidade política em 462 de 663 artigos (69.7%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'manifestação' encontrada (categoria: protestos)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)""]"
2023-12-146;06/12/2023;20/12/2023;682;504;178;73.90;"Silvio Almeida exalta cinema, objeto de mostra no Rio de Janeiro; Mauro Vieira diz que é necessário preservar a paz na América do Sul; TCU aprova renegociação entre governo e quatro termelétricas";"Detectada instabilidade política em 504 de 682 artigos (73.9%). Principais indicadores: [""Palavra-chave 'violência' encontrada (categoria: violencia)"", ""Palavra-chave 'conflito' encontrada (categoria: conflitos)"", ""Palavra-chave 'crise' encontrada (categoria: crises)""]"
2023-12-147;21/12/2023;04/01/2024;479;333;146;69.52;"Rio aumenta ICMS para 20% a partir de 2024; indústrias criticam; Comissão do Congresso aprova relatório do orçamento de 2024; STF retomará em fevereiro julgamento sobre revisão da vida toda";"Detectada instabilidade política em 333 de 479 artigos (69.5%). Principais indicadores: [""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)"", ""Palavra-chave 'reforma' encontrada (categoria: mudanças)""]"
2024-01-148;05/01/2024;19/01/2024;603;402;201;66.67;"Exército conclui que não houve crime de militares no dia 8 de janeiro; BNDES investe em vacina contra covid-19 desenvolvida pela Fiocruz; ""Isso, isso, isso"": São Paulo recebe exposição sobre seriado Chaves";"Detectada instabilidade política em 402 de 603 artigos (66.7%). Principais indicadores: [""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'emergência' encontrada (categoria: crises)"", ""Palavra-chave 'manifestação' encontrada (categoria: protestos)""]"
2024-01-149;20/01/2024;03/02/2024;616;391;225;63.47;"Aéreas brasileiras cancelam voos para Argentina no dia 24 por greve; Relatório da ONU aponta assassinatos étnicos em cidade do Sudão; Dias Toffoli faz cirurgia para corrigir hérnia, em São Paulo";"Detectada instabilidade política em 391 de 616 artigos (63.5%). Principais indicadores: [""Palavra-chave 'protesto' encontrada (categoria: protestos)"", ""Palavra-chave 'conflito' encontrada (categoria: conflitos)"", ""Palavra-chave 'urgente' encontrada (categoria: crises)""]"
2024-02-150;04/02/2024;18/02/2024;614;406;208;66.12;"São Paulo bate Palmeiras e vence a Supercopa do Brasil pela 1ª vez; Em dia de clássico, 50 torcedores do Vasco são presos pela PM do Rio; Sobe para 64 o número de mortos nos incêndios florestais do Chile";"Detectada instabilidade política em 406 de 614 artigos (66.1%). Principais indicadores: [""Palavra-chave 'confronto' encontrada (categoria: conflitos)"", ""Palavra-chave 'confronto' encontrada (categoria: conflitos)"", ""Palavra-chave 'emergência' encontrada (categoria: crises)""]"
2024-02-151;19/02/2024;04/03/2024;699;476;223;68.10;"Empregos ligados à matemática são mais resilientes em épocas de crise; Haddad nega que Centrão tenha pedido saída de assessor especial; Moraes nega pedido de Bolsonaro para adiar depoimento à PF";"Detectada instabilidade política em 476 de 699 artigos (68.1%). Principais indicadores: [""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'impasse' encontrada (categoria: governabilidade)"", ""Palavra-chave 'golpe' encontrada (categoria: golpes)""]"
2024-03-152;05/03/2024;19/03/2024;644;476;168;73.91;"Chuva coloca cidade de São Paulo em estado de atenção; Gestores analisam e votam propostas na Conferência Nacional de Cultura; Eleição presidencial na Venezuela será realizada em 28 de julho";"Detectada instabilidade política em 476 de 644 artigos (73.9%). Principais indicadores: [""Palavra-chave 'emergência' encontrada (categoria: crises)"", ""Palavra-chave 'reforma' encontrada (categoria: mudanças)"", ""Palavra-chave 'eleição' encontrada (categoria: eleições)""]"
2024-03-153;20/03/2024;03/04/2024;624;456;168;73.08;"Fluminense e Internacional empatam pelo Brasileiro Feminino; Câmara dos Deputados aprova texto-base do novo ensino médio; STF determina plano de combate a incêndios no Pantanal e na Amazônia";"Detectada instabilidade política em 456 de 624 artigos (73.1%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)"", ""Palavra-chave 'intervenção' encontrada (categoria: golpes)""]"
2024-04-154;04/04/2024;18/04/2024;668;475;193;71.11;"Catanduva derrota Ponta Grossa na Liga de Basquete Feminino; Justiça rejeita ação de senador contra fotógrafo Lula Marques; Vazamento de poluente suspende água para cidades do estado do Rio";"Detectada instabilidade política em 475 de 668 artigos (71.1%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)"", ""Palavra-chave 'crime' encontrada (categoria: violencia)""]"
2024-04-155;19/04/2024;03/05/2024;684;481;203;70.32;"Irã sinaliza que não planeja retaliar Israel após ataque com drones; Alexandre de Moraes diz que soberania brasileira está sob ataque; Município do Rio e TSE lançam pedra fundamental do Museu da Democracia";"Detectada instabilidade política em 481 de 684 artigos (70.3%). Principais indicadores: [""Palavra-chave 'conflito' encontrada (categoria: conflitos)"", ""Palavra-chave 'ataque' encontrada (categoria: violencia)"", ""Palavra-chave 'crise' encontrada (categoria: crises)""]"
2024-05-156;04/05/2024;18/05/2024;745;478;267;64.16;"Chuvas no RS: mais de 10 mil pessoas foram resgatadas; Lula volta ao Rio Grande do Sul neste domingo; Estudantes da Irlanda e Suíça fazem protetos contra guerra em Gaza";"Detectada instabilidade política em 478 de 745 artigos (64.2%). Principais indicadores: ['Contexto político negativo detectado na análise qualitativa', ""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'protesto' encontrada (categoria: protestos)""]"
2024-05-157;19/05/2024;02/06/2024;660;456;204;69.09;"Brasil tem domingo dourado no Mundial de atletismo paralímpico; Governos reagem à queda de helicóptero com presidente do Irã a bordo; Projeto de parque na região portuária do Rio prevê praças flutuantes";"Detectada instabilidade política em 456 de 660 artigos (69.1%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'reforma' encontrada (categoria: mudanças)""]"
2024-06-158;03/06/2024;17/06/2024;687;474;213;69.00;"Política Nacional de Fronteiras vai orientar ações em áreas limítrofes; Cheias no Afeganistão afetam milhares de crianças, alerta Unicef; Delegado Rivaldo Barbosa presta depoimento sobre caso Marielle";"Detectada instabilidade política em 474 de 687 artigos (69.0%). Principais indicadores: [""Palavra-chave 'tensão' encontrada (categoria: conflitos)"", ""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)""]"
2024-06-159;18/06/2024;02/07/2024;697;469;228;67.29;"Forças israelenses intensificam invasão de Rafah e matam 17 pessoas; Evangélicos entendem mudanças climáticas como resultado da ação humana; Ipea estima 24 mil homicídios não registrados no país de 2019 a 2022";"Detectada instabilidade política em 469 de 697 artigos (67.3%). Principais indicadores: [""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'mudança' encontrada (categoria: mudanças)"", ""Palavra-chave 'violência' encontrada (categoria: violencia)""]"
2024-07-160;03/07/2024;17/07/2024;617;441;176;71.47;"Flamengo goleia Atlético-MG e segue na liderança do Brasileiro; Moraes mantém prisão de réu que quebrou relógio histórico no Planalto; Governo discute baixa adesão a Sistema de Promoção da Igualdade Racial";"Detectada instabilidade política em 441 de 617 artigos (71.5%). Principais indicadores: [""Palavra-chave 'confronto' encontrada (categoria: conflitos)"", ""Palavra-chave 'golpe' encontrada (categoria: golpes)"", 'Contexto político negativo detectado na análise qualitativa']"
2024-07-161;18/07/2024;01/08/2024;611;428;183;70.05;"PGR é contra suspensão da privatização da Sabesp; Legado de Nelson Mandela serve a todas as nações, diz ex-ministra; Mendonça reconsidera decisão que suspendeu punição a federações";"Detectada instabilidade política em 428 de 611 artigos (70.0%). Principais indicadores: [""Palavra-chave 'movimento' encontrada (categoria: protestos)"", ""Palavra-chave 'terrorismo' encontrada (categoria: violencia)"", ""Palavra-chave 'mudança' encontrada (categoria: mudanças)""]"
2024-08-162;02/08/2024;16/08/2024;668;467;201;69.91;"Governo quer apoio de times de futebol contra feminicídio; Massacre de Paraisópolis: Justiça ouve duas testemunhas de defesa; Kamala tem delegados suficientes para se tornar candidata presidencial";"Detectada instabilidade política em 467 de 668 artigos (69.9%). Principais indicadores: [""Palavra-chave 'emergência' encontrada (categoria: crises)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)""]"
2024-08-163;17/08/2024;31/08/2024;472;340;132;72.03;"MST apresenta demandas a Lula em encontro na Granja do Torto; Concurso unificado: capitais montam esquema especial de trânsito; Atos contra e a favor governo Maduro tomam as ruas na Venezuela";"Detectada instabilidade política em 340 de 472 artigos (72.0%). Principais indicadores: [""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'mudança' encontrada (categoria: mudanças)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)""]"
2024-09-164;16/09/2024;30/09/2024;309;201;108;65.05;"Al-Jazeera considera criminoso ataque israelense às suas instalações; Ato em SP conclama para medidas de mitigação da emergência climática; França forma novo governo após semanas de incerteza";"Detectada instabilidade política em 201 de 309 artigos (65.0%). Principais indicadores: [""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)""]"
2024-10-165;01/10/2024;15/10/2024;541;405;136;74.86;"Juiz suspende portarias da Fazenda que regulamentaram apostas online; Brasil pode obter grau de investimento até 2026, diz Haddad; Entenda o que é o grau de investimento de um país";"Detectada instabilidade política em 405 de 541 artigos (74.9%). Principais indicadores: [""Palavra-chave 'reforma' encontrada (categoria: mudanças)"", ""Palavra-chave 'choque' encontrada (categoria: conflitos)"", ""Palavra-chave 'crise' encontrada (categoria: crises)""]"
2024-10-166;16/10/2024;30/10/2024;703;509;194;72.40;"Câmara aprova divulgação de dados do Censo Escolar e de exames; Polícia Federal abre inquérito para apurar transplantes com HIV no Rio; Lula elogia ministros e descarta mudanças na equipe";"Detectada instabilidade política em 509 de 703 artigos (72.4%). Principais indicadores: [""Palavra-chave 'presidencial' encontrada (categoria: eleições)"", ""Palavra-chave 'urgente' encontrada (categoria: crises)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)""]"
2024-10-167;31/10/2024;14/11/2024;288;187;101;64.93;"Esquema de pirâmide que movimentou R$ 1 bi é alvo de operação no Rio; Número de lares urbanos com internet passou de 13% para 85% em 20 anos; ONU alerta para agravamento da fome em Gaza, no Sudão e Mali em 2025";"Detectada instabilidade política em 187 de 288 artigos (64.9%). Principais indicadores: [""Palavra-chave 'golpe' encontrada (categoria: golpes)"", ""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'crise' encontrada (categoria: crises)""]"
